date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:11.509	0.025	0.002	57.877	0.136	0.041	0.001	13.544	
0:0:11.557	0.022	0.002	59.261	0.146	0.044	0.001	13.203	
0:0:11.599	0.020	0.002	61.215	0.153	0.045	0.001	13.085	
0:0:11.644	0.019	0.002	61.726	0.156	0.046	0.001	12.720	
0:0:11.693	0.019	0.002	62.640	0.157	0.047	0.001	12.502	
0:0:11.736	0.018	0.002	60.278	0.159	0.047	0.001	11.932	
0:0:11.778	0.018	0.002	59.358	0.159	0.047	0.001	11.933	
0:0:11.826	0.018	0.002	60.967	0.161	0.048	0.001	11.204	
0:0:11.870	0.018	0.002	61.535	0.160	0.048	0.001	10.829	
0:0:11.912	0.018	0.002	60.343	0.159	0.047	0.001	9.973	
0:0:11.954	0.017	0.002	61.380	0.163	0.048	0.001	9.822	
0:0:12.019	0.017	0.002	62.569	0.164	0.049	0.001	8.940	
0:0:12.065	0.017	0.002	64.404	0.163	0.048	0.001	8.599	
0:0:12.113	0.017	0.002	63.964	0.164	0.049	0.001	8.183	
0:0:12.159	0.018	0.002	63.559	0.159	0.047	0.001	8.237	
0:0:12.203	0.019	0.002	61.140	0.156	0.047	0.001	7.669	
0:0:12.250	0.020	0.002	59.437	0.153	0.046	0.001	7.418	
0:0:12.332	0.020	0.002	56.427	0.153	0.046	0.002	6.996	
0:0:12.380	0.020	0.002	55.163	0.154	0.046	0.002	6.752	
0:0:12.427	0.020	0.002	54.437	0.153	0.046	0.002	6.126	
0:0:12.483	0.021	0.002	51.765	0.148	0.044	0.002	5.509	
0:0:12.537	0.020	0.002	49.889	0.152	0.045	0.002	4.740	
0:0:12.585	0.020	0.002	47.859	0.153	0.045	0.002	4.354	
0:0:12.628	0.020	0.002	44.746	0.151	0.045	0.003	3.772	
0:0:12.675	0.020	0.002	40.435	0.152	0.045	0.003	3.429	
0:0:12.719	0.018	0.002	33.746	0.159	0.047	0.003	3.054	
0:0:12.768	0.019	0.002	27.260	0.156	0.046	0.003	2.917	
0:0:12.812	0.019	0.002	21.920	0.156	0.046	0.004	2.707	
0:0:12.859	0.018	0.002	17.705	0.159	0.046	0.004	2.579	
0:0:12.922	0.016	0.002	13.266	0.165	0.046	0.004	2.393	
0:0:12.969	0.016	0.002	8.507	0.164	0.045	0.004	2.281	
0:0:13.010	0.015	0.002	7.581	0.168	0.045	0.005	2.192	
0:0:13.052	0.015	0.002	4.915	0.167	0.042	0.005	2.056	
0:0:13.093	0.015	0.002	3.061	0.164	0.038	0.005	1.894	
0:0:13.135	0.013	0.002	2.437	0.166	0.034	0.005	1.703	
0:0:13.181	0.011	0.002	1.850	0.171	0.027	0.005	1.415	
0:0:13.232	0.010	0.003	1.273	0.168	0.022	0.005	1.186	
0:0:13.274	0.008	0.003	1.166	0.174	0.017	0.005	0.939	
0:0:13.318	0.008	0.004	1.159	0.177	0.015	0.005	0.860	
0:0:13.362	0.006	0.005	0.893	0.179	0.010	0.005	0.633	
0:0:13.407	0.005	0.007	0.737	0.179	0.008	0.005	0.500	
0:0:13.485	0.005	0.009	0.641	0.182	0.006	0.005	0.395	
0:0:13.529	0.005	0.009	0.666	0.182	0.006	0.005	0.398	
0:0:13.573	0.004	0.010	0.711	0.185	0.006	0.005	0.383	
0:0:13.616	0.004	0.010	0.741	0.188	0.006	0.005	0.390	
0:0:13.663	0.004	0.011	0.748	0.189	0.006	0.005	0.367	
0:0:13.707	0.004	0.010	0.796	0.189	0.006	0.005	0.383	
0:0:13.765	0.004	0.010	0.835	0.190	0.006	0.005	0.399	
0:0:13.813	0.004	0.010	0.795	0.190	0.006	0.005	0.384	
0:0:13.868	0.004	0.011	0.806	0.191	0.006	0.005	0.378	
0:0:13.911	0.004	0.011	0.768	0.192	0.006	0.005	0.376	
0:0:13.951	0.004	0.012	0.685	0.192	0.005	0.005	0.347	
0:0:13.996	0.003	0.015	0.570	0.192	0.004	0.005	0.281	
0:0:14.051	0.003	0.019	0.501	0.193	0.004	0.006	0.240	
0:0:14.093	0.003	0.021	0.469	0.193	0.003	0.006	0.220	
0:0:14.142	0.003	0.020	0.447	0.193	0.003	0.006	0.207	
0:0:14.201	0.003	0.015	0.439	0.194	0.003	0.006	0.202	
0:0:14.246	0.003	0.013	0.435	0.194	0.003	0.006	0.199	
0:0:14.296	0.003	0.017	0.431	0.194	0.003	0.006	0.196	
0:0:14.336	0.003	0.021	0.430	0.194	0.003	0.006	0.195	
0:0:14.380	0.003	0.023	0.429	0.194	0.003	0.006	0.195	
0:0:14.424	0.003	0.024	0.428	0.194	0.003	0.006	0.194	
0:0:14.469	0.003	0.025	0.428	0.194	0.003	0.006	0.194	
0:0:14.513	0.003	0.025	0.428	0.194	0.003	0.006	0.194	
0:0:14.560	0.003	0.025	0.428	0.194	0.003	0.006	0.194	
