date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:35.436	0.003	0.026	4.106	0.198	0.003	0.006	0.188	
0:0:35.711	0.003	0.026	1.910	0.197	0.003	0.006	0.190	
0:0:36.124	0.003	0.029	56.903	0.204	0.004	0.006	0.171	
0:0:36.351	0.003	0.026	78.722	0.198	0.003	0.006	0.186	
0:0:36.607	0.003	0.026	3.100	0.198	0.003	0.006	0.187	
0:0:36.818	0.003	0.026	3.706	0.198	0.003	0.006	0.187	
0:0:36.976	0.003	0.030	6.606	0.204	0.004	0.006	0.170	
0:0:37.128	0.002	0.034	24.300	0.212	0.004	0.006	0.150	
0:0:37.296	0.003	0.027	54.318	0.200	0.003	0.006	0.182	
0:0:37.454	0.003	0.025	74.444	0.198	0.003	0.006	0.195	
0:0:37.642	0.003	0.024	58.125	0.196	0.003	0.006	0.204	
0:0:37.791	0.003	0.024	13.896	0.197	0.003	0.006	0.204	
0:0:38.190	0.003	0.023	19.931	0.199	0.004	0.006	0.211	
0:0:38.358	0.003	0.021	43.525	0.199	0.004	0.006	0.225	
0:0:38.519	0.003	0.023	38.837	0.200	0.004	0.006	0.209	
0:0:38.674	0.003	0.026	17.394	0.203	0.004	0.006	0.188	
0:0:38.829	0.003	0.026	4.265	0.200	0.004	0.006	0.190	
0:0:38.970	0.003	0.027	3.470	0.202	0.004	0.006	0.183	
0:0:39.117	0.003	0.029	20.070	0.208	0.004	0.006	0.171	
0:0:39.274	0.003	0.027	47.195	0.204	0.004	0.006	0.181	
0:0:39.431	0.002	0.030	40.813	0.209	0.004	0.006	0.168	
0:0:39.589	0.002	0.032	27.790	0.213	0.005	0.006	0.159	
0:0:39.764	0.003	0.027	17.871	0.206	0.004	0.006	0.182	
0:0:39.934	0.003	0.024	35.929	0.204	0.004	0.006	0.201	
0:0:40.085	0.003	0.028	1.772	0.213	0.005	0.006	0.176	
0:0:40.240	0.002	0.042	0.557	0.234	0.007	0.007	0.125	
0:0:40.484	0.001	0.406	0.518	0.417	0.085	0.019	0.021	
0:0:40.727	0.001	2.937	0.506	0.674	0.688	0.043	0.005	
0:0:40.938	0.001	0.967	0.502	0.499	0.162	0.026	0.011	
0:0:41.188	0.001	3.384	0.610	0.681	0.645	0.044	0.005	
0:0:41.404	0.001	1.284	0.442	0.533	0.196	0.028	0.009	
0:0:41.589	0.001	0.197	0.445	0.331	0.025	0.013	0.036	
0:0:41.787	0.002	0.059	0.435	0.245	0.007	0.008	0.092	
0:0:41.944	0.003	0.027	0.507	0.198	0.003	0.006	0.182	
0:0:42.108	0.003	0.027	0.482	0.199	0.003	0.006	0.181	
0:0:42.274	0.003	0.026	0.461	0.196	0.003	0.006	0.189	
0:0:42.460	0.003	0.025	0.549	0.194	0.003	0.006	0.197	
0:0:42.607	0.003	0.025	0.675	0.194	0.003	0.006	0.197	
0:0:42.758	0.003	0.025	0.822	0.194	0.003	0.005	0.199	
0:0:42.954	0.003	0.024	1.313	0.194	0.003	0.005	0.201	
0:0:43.144	0.003	0.022	0.621	0.194	0.003	0.005	0.217	
0:0:43.315	0.003	0.019	0.663	0.196	0.004	0.006	0.248	
0:0:43.478	0.003	0.020	0.753	0.195	0.004	0.006	0.234	
0:0:43.639	0.003	0.024	0.628	0.198	0.004	0.006	0.203	
0:0:43.781	0.002	0.033	0.558	0.210	0.004	0.006	0.154	
0:0:45.241	0.003	0.010	0.037	93.408	0.026	0.018	0.202	
0:0:46.021	0.003	0.018	0.190	26.444	0.006	0.015	0.204	
0:0:46.597	0.003	0.005	0.010	0.209	0.089	0.010	0.238	
0:0:47.038	0.003	0.004	0.005	0.195	0.211	0.008	0.217	
0:0:47.363	0.002	0.013	0.109	0.207	0.030	0.008	0.177	
0:0:47.730	0.003	0.012	0.138	0.196	0.007	0.007	0.196	
0:0:48.200	0.003	0.007	0.019	0.196	0.054	0.008	0.193	
0:0:48.623	0.001	0.035	0.018	0.370	0.986	0.056	0.027	
0:0:48.835	0.001	4.653	0.454	0.827	2.375	0.355	0.003	
0:0:49.081	0.001	5.337	0.705	0.738	1.052	0.138	0.003	
0:0:49.314	0.002	0.135	0.616	0.206	0.016	0.016	0.035	
0:0:49.512	0.004	0.035	0.569	0.127	0.005	0.007	0.088	
0:0:49.715	0.005	0.009	1.725	0.177	0.090	0.008	0.272	
0:0:50.009	0.113	0.002	12.422	0.056	0.048	0.003	0.871	
0:0:50.234	0.018	0.002	1.748	0.145	0.059	0.005	1.378	
0:0:50.423	0.007	0.004	1.825	0.198	0.180	0.007	0.612	
0:0:50.606	0.001	0.040	2.712	0.473	3.006	0.024	0.109	
0:0:50.798	0.003	0.007	3.109	0.291	0.305	0.010	0.454	
0:0:51.002	0.008	0.003	7.268	0.211	0.063	0.006	1.451	
0:0:51.189	0.009	0.003	11.383	0.198	0.038	0.005	1.541	
0:0:51.383	0.009	0.003	6.365	0.197	0.033	0.005	1.548	
0:0:51.591	0.009	0.003	4.673	0.193	0.030	0.005	1.587	
0:0:51.766	0.007	0.004	2.726	0.195	0.020	0.005	1.136	
0:0:51.951	0.007	0.004	3.264	0.195	0.019	0.005	1.042	
0:0:52.146	0.006	0.005	3.854	0.196	0.014	0.005	0.818	
0:0:52.344	0.005	0.006	3.546	0.194	0.012	0.005	0.749	
0:0:52.495	0.005	0.006	3.367	0.194	0.011	0.005	0.739	
0:0:52.646	0.006	0.004	4.093	0.194	0.016	0.004	1.085	
0:0:52.811	0.008	0.003	5.018	0.192	0.026	0.004	1.510	
0:0:52.970	0.009	0.003	3.835	0.193	0.033	0.005	1.674	
0:0:53.121	0.010	0.002	3.853	0.193	0.040	0.005	1.693	
0:0:53.273	0.010	0.002	4.216	0.193	0.046	0.005	1.843	
0:0:53.434	0.011	0.002	3.428	0.192	0.047	0.005	1.824	
0:0:53.596	0.012	0.002	3.408	0.191	0.054	0.005	1.985	
0:0:53.751	0.012	0.002	3.193	0.186	0.051	0.005	1.972	
0:0:53.923	0.020	0.002	2.956	0.149	0.043	0.005	2.014	
0:0:54.065	0.066	0.001	2.782	0.086	0.029	0.003	2.024	
0:0:54.215	85.357	0.001	0.144	0.002	0.002	0.001	2.145	
0:0:54.391	99.707	0.001	0.043	0.001	0.001	0.001	2.171	
0:0:54.547	99.905	0.001	0.023	0.001	0.001	0.001	2.117	
0:0:54.724	99.918	0.001	0.017	0.001	0.001	0.001	2.088	
0:0:54.900	99.927	0.001	0.030	0.001	0.001	0.001	2.274	
0:0:55.099	99.929	0.001	0.053	0.001	0.001	0.001	2.425	
0:0:55.273	99.930	0.001	0.049	0.001	0.001	0.001	2.598	
0:0:55.432	99.930	0.001	0.025	0.001	0.001	0.001	2.967	
0:0:55.600	99.931	0.001	0.026	0.001	0.001	0.001	3.967	
0:0:55.778	99.930	0.001	0.067	0.001	0.001	0.001	4.269	
0:0:55.976	99.930	0.001	0.078	0.001	0.001	0.001	4.600	
0:0:56.162	99.929	0.001	0.113	0.001	0.001	0.001	4.450	
0:0:56.342	99.917	0.001	0.031	0.001	0.001	0.001	4.039	
0:0:56.511	99.838	0.001	0.020	0.001	0.001	0.001	3.088	
0:0:56.664	4.604	0.001	0.424	0.013	0.006	0.001	2.496	
0:0:56.843	0.047	0.001	1.824	0.101	0.034	0.004	2.288	
0:0:57.099	0.017	0.002	2.474	0.161	0.052	0.005	2.010	
0:0:57.273	0.018	0.002	1.724	0.141	0.032	0.005	1.565	
0:0:57.453	0.023	0.002	1.190	0.111	0.015	0.004	1.095	
0:0:57.599	0.037	0.003	0.747	0.074	0.006	0.003	0.621	
0:0:57.759	0.053	0.002	0.708	0.067	0.006	0.003	0.748	
0:0:57.910	0.074	0.002	0.698	0.062	0.008	0.003	0.981	
0:0:58.117	0.027	0.002	1.189	0.104	0.015	0.004	1.109	
0:0:58.298	0.024	0.002	2.252	0.120	0.023	0.004	1.476	
0:0:58.487	0.035	0.002	2.420	0.099	0.018	0.004	1.371	
0:0:58.674	0.051	0.002	1.755	0.083	0.016	0.003	1.413	
0:0:58.858	1.551	0.001	0.353	0.018	0.005	0.002	1.541	
0:0:59.026	30.857	0.001	0.106	0.005	0.002	0.001	1.848	
0:1:0.710	0.009	0.003	6.842	0.201	0.039	0.005	1.702	
0:1:1.408	0.006	0.002	4.401	0.197	0.013	0.003	4.786	
0:1:1.769	0.010	0.002	4.587	0.195	0.038	0.005	2.185	
0:1:2.092	0.009	0.002	6.574	0.196	0.035	0.005	1.708	
0:1:2.750	0.011	0.002	3.897	0.184	0.034	0.005	1.786	
0:1:3.167	0.013	0.002	2.626	0.180	0.046	0.005	2.132	
0:1:3.480	0.011	0.002	3.778	0.187	0.045	0.005	2.000	
0:1:3.709	0.011	0.002	5.060	0.190	0.042	0.005	1.979	
0:1:4.169	0.009	0.003	21.371	0.185	0.026	0.005	1.355	
0:1:4.477	0.010	0.003	2.779	0.182	0.031	0.005	1.563	
0:1:4.744	0.009	0.003	5.663	0.176	0.021	0.005	1.100	
0:1:4.966	0.007	0.005	1.113	0.176	0.012	0.005	0.696	
0:1:5.213	0.006	0.006	2.394	0.186	0.011	0.005	0.626	
0:1:5.497	0.005	0.006	3.054	0.188	0.010	0.005	0.612	
0:1:5.708	0.007	0.005	2.124	0.185	0.015	0.005	0.779	
0:1:5.907	0.011	0.003	2.847	0.163	0.021	0.005	1.207	
0:1:6.099	0.012	0.002	4.623	0.177	0.036	0.005	1.739	
0:1:6.350	0.001	0.001	0.001	0.001	0.001	0.001	0.001	
0:1:8.400	0.005	0.015	0.324	0.189	0.002	0.006	0.271	
