date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:12.166	0.003	0.025	0.428	0.194	0.003	0.005	0.206	
0:0:12.230	0.003	0.025	0.428	0.194	0.003	0.005	0.204	
0:0:12.295	0.003	0.025	0.428	0.194	0.003	0.005	0.203	
0:0:12.361	0.003	0.025	0.428	0.194	0.003	0.005	0.201	
0:0:12.432	0.003	0.025	0.428	0.194	0.003	0.005	0.201	
0:0:12.495	0.003	0.025	0.428	0.194	0.003	0.005	0.200	
0:0:12.564	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:12.625	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:12.686	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:12.746	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:12.809	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:12.885	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:12.965	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.025	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.116	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.193	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.260	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.321	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.384	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.446	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.511	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:13.572	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.639	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.705	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:13.778	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:13.838	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:13.911	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:13.978	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.039	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.119	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.185	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.246	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.308	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.374	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.443	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.507	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.579	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.640	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.700	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:14.760	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:14.822	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:14.890	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:14.951	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:15.022	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:15.081	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:15.146	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:15.212	0.003	0.025	0.427	0.194	0.003	0.006	0.197	
0:0:15.283	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:15.345	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:15.407	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:15.476	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:15.551	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:15.626	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:15.687	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:15.754	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:15.821	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:15.896	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:15.958	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:16.029	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:16.093	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:16.155	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:16.219	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:16.294	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:16.355	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:16.416	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:16.481	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:16.562	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:16.622	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:16.685	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:16.747	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:16.808	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:16.870	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:16.929	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:16.989	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:17.048	0.003	0.025	0.427	0.194	0.003	0.005	0.201	
0:0:17.108	0.003	0.025	0.427	0.194	0.003	0.005	0.201	
0:0:17.168	0.003	0.025	0.427	0.194	0.003	0.005	0.202	
0:0:17.238	0.003	0.025	0.427	0.194	0.003	0.005	0.202	
0:0:17.301	0.003	0.025	0.427	0.194	0.003	0.005	0.203	
0:0:17.364	0.003	0.025	0.427	0.194	0.003	0.005	0.202	
0:0:17.425	0.003	0.025	0.427	0.194	0.003	0.005	0.200	
0:0:17.485	0.003	0.025	0.427	0.194	0.003	0.005	0.199	
0:0:17.544	0.003	0.025	0.427	0.194	0.003	0.005	0.198	
0:0:17.605	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:17.665	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:17.725	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:17.786	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:17.847	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:17.911	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:17.972	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.033	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.094	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.159	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.220	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.280	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.343	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.404	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:18.465	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.525	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.592	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:18.661	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:18.738	0.003	0.025	0.427	0.194	0.003	0.006	0.196	
0:0:18.798	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.860	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.920	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:18.983	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:19.045	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:19.106	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:19.166	0.003	0.025	0.427	0.194	0.003	0.005	0.196	
0:0:19.226	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
0:0:19.299	0.003	0.025	0.428	0.194	0.003	0.005	0.197	
0:0:19.369	0.003	0.025	0.428	0.194	0.003	0.005	0.198	
0:0:19.444	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:19.507	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:19.589	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:19.650	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:19.710	0.003	0.025	0.428	0.194	0.003	0.005	0.199	
0:0:19.769	0.003	0.025	0.428	0.194	0.003	0.005	0.198	
0:0:19.838	0.003	0.024	0.428	0.194	0.003	0.005	0.198	
0:0:19.902	0.003	0.024	0.428	0.194	0.003	0.005	0.198	
0:0:19.962	0.003	0.025	0.428	0.194	0.003	0.005	0.198	
0:0:20.022	0.003	0.025	0.427	0.194	0.003	0.005	0.197	
