date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:13.002	0.003	0.019	0.516	0.200	0.004	0.006	0.240	
0:0:13.070	0.003	0.020	0.509	0.200	0.004	0.006	0.236	
0:0:13.135	0.003	0.020	0.507	0.198	0.004	0.006	0.234	
0:0:13.200	0.003	0.020	0.502	0.198	0.004	0.006	0.231	
0:0:13.263	0.003	0.020	0.498	0.197	0.004	0.006	0.230	
0:0:13.330	0.003	0.020	0.497	0.197	0.004	0.005	0.231	
0:0:13.396	0.003	0.020	0.493	0.197	0.004	0.005	0.229	
0:0:13.461	0.003	0.020	0.491	0.197	0.004	0.005	0.228	
0:0:13.524	0.003	0.021	0.485	0.197	0.003	0.006	0.225	
0:0:13.590	0.003	0.021	0.479	0.196	0.003	0.006	0.221	
0:0:13.659	0.003	0.022	0.470	0.196	0.003	0.006	0.215	
0:0:13.719	0.003	0.022	0.464	0.195	0.003	0.006	0.212	
0:0:13.779	0.003	0.023	0.456	0.195	0.003	0.006	0.207	
0:0:13.854	0.003	0.023	0.451	0.194	0.003	0.006	0.204	
0:0:13.923	0.003	0.023	0.448	0.194	0.003	0.006	0.203	
0:0:13.988	0.003	0.024	0.448	0.195	0.003	0.006	0.200	
0:0:14.055	0.003	0.024	0.448	0.196	0.003	0.006	0.199	
0:0:14.119	0.003	0.024	0.449	0.196	0.003	0.006	0.199	
0:0:14.183	0.003	0.024	0.449	0.197	0.003	0.006	0.199	
0:0:14.264	0.003	0.024	0.450	0.197	0.003	0.006	0.200	
0:0:14.345	0.003	0.024	0.449	0.197	0.003	0.006	0.200	
0:0:14.412	0.003	0.024	0.445	0.197	0.003	0.006	0.199	
0:0:14.472	0.003	0.024	0.442	0.196	0.003	0.006	0.197	
0:0:14.537	0.003	0.024	0.437	0.194	0.003	0.005	0.196	
0:0:14.597	0.003	0.024	0.433	0.192	0.003	0.005	0.194	
0:0:14.659	0.003	0.022	0.420	0.188	0.003	0.005	0.194	
0:0:14.728	0.003	0.019	0.406	0.187	0.003	0.005	0.192	
0:0:14.800	0.004	0.013	0.383	0.182	0.003	0.005	0.190	
0:0:14.868	0.004	0.008	0.360	0.181	0.003	0.005	0.186	
0:0:14.928	0.004	0.007	0.345	0.187	0.003	0.005	0.182	
0:0:14.988	0.004	0.005	0.320	0.180	0.003	0.005	0.180	
0:0:15.060	0.004	0.005	0.305	0.191	0.003	0.005	0.181	
0:0:15.123	0.004	0.005	0.279	0.188	0.003	0.005	0.183	
