date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:16.571	0.002	0.036	0.429	0.211	0.004	0.006	0.152	
0:0:16.657	0.002	0.039	0.428	0.214	0.004	0.006	0.147	
0:0:16.740	0.002	0.038	0.428	0.214	0.004	0.006	0.149	
0:0:16.825	0.002	0.033	0.428	0.206	0.004	0.006	0.169	
0:0:16.942	0.003	0.029	0.427	0.199	0.003	0.006	0.186	
0:0:17.025	0.003	0.027	0.428	0.197	0.003	0.006	0.189	
0:0:17.116	0.003	0.027	0.428	0.195	0.003	0.006	0.197	
0:0:17.199	0.003	0.026	0.428	0.194	0.003	0.006	0.200	
0:0:17.303	0.003	0.025	0.429	0.194	0.003	0.005	0.224	
0:0:17.397	0.002	0.019	0.431	0.194	0.002	0.004	0.368	
0:0:17.497	0.002	0.013	0.432	0.194	0.002	0.003	0.730	
0:0:17.590	0.002	0.011	0.432	0.194	0.001	0.002	1.071	
0:0:17.675	0.001	0.009	0.435	0.194	0.001	0.002	1.847	
0:0:17.748	0.001	0.007	0.441	0.194	0.001	0.002	3.028	
0:0:17.820	0.002	0.011	0.435	0.194	0.001	0.002	1.054	
0:0:17.892	0.002	0.013	0.432	0.194	0.002	0.003	0.728	
0:0:17.964	0.002	0.017	0.430	0.194	0.002	0.004	0.448	
0:0:18.036	0.003	0.023	0.432	0.194	0.003	0.005	0.249	
0:0:18.107	0.003	0.029	0.437	0.194	0.003	0.005	0.228	
0:0:18.178	0.003	0.028	0.435	0.195	0.003	0.005	0.216	
0:0:18.249	0.003	0.030	0.435	0.198	0.003	0.005	0.203	
0:0:18.327	0.002	0.045	0.432	0.219	0.004	0.006	0.143	
0:0:18.399	0.002	0.073	0.433	0.252	0.007	0.008	0.091	
0:0:18.469	0.001	0.294	0.434	0.359	0.032	0.014	0.029	
0:0:18.572	0.001	0.145	0.432	0.301	0.015	0.011	0.049	
0:0:18.680	0.001	0.334	0.434	0.372	0.038	0.015	0.025	
0:0:18.778	0.002	0.101	0.434	0.276	0.011	0.009	0.064	
0:0:18.865	0.003	0.031	0.432	0.204	0.003	0.006	0.168	
0:0:18.950	0.003	0.026	0.430	0.195	0.003	0.006	0.192	
0:0:19.032	0.003	0.025	0.429	0.194	0.003	0.005	0.197	
0:0:19.125	0.003	0.025	0.431	0.194	0.003	0.005	0.200	
0:0:19.233	0.003	0.024	0.466	0.194	0.003	0.005	0.205	
0:0:19.307	0.003	0.026	2.295	0.196	0.003	0.006	0.192	
0:0:19.375	0.002	0.035	51.730	0.211	0.005	0.006	0.148	
0:0:19.452	0.001	0.110	90.276	0.283	0.037	0.010	0.059	
0:0:19.521	0.001	0.136	81.195	0.303	0.058	0.011	0.049	
0:0:19.590	0.001	4.512	74.145	0.741	7.723	0.050	0.004	
0:0:19.659	0.001	2.332	88.629	0.627	4.506	0.037	0.006	
0:0:19.739	0.001	2.115	89.416	0.635	9.538	0.037	0.006	
0:0:19.812	0.001	0.168	97.360	0.351	0.323	0.013	0.042	
0:0:19.883	0.001	0.092	97.604	0.316	0.220	0.011	0.066	
0:0:19.955	0.002	0.029	89.519	0.232	0.020	0.007	0.169	
0:0:20.026	0.003	0.022	42.760	0.210	0.006	0.006	0.210	
0:0:20.108	0.003	0.019	0.996	0.213	0.005	0.006	0.238	
0:0:20.189	0.003	0.020	0.736	0.210	0.004	0.006	0.228	
0:0:20.266	0.003	0.022	0.603	0.204	0.003	0.006	0.211	
0:0:20.343	0.003	0.024	0.527	0.198	0.003	0.006	0.203	
0:0:20.434	0.003	0.024	3.112	0.196	0.003	0.006	0.201	
0:0:20.508	0.003	0.024	8.286	0.196	0.003	0.006	0.198	
0:0:20.581	0.003	0.025	34.416	0.195	0.003	0.006	0.196	
0:0:20.667	0.003	0.025	0.631	0.195	0.003	0.006	0.195	
0:0:20.755	0.003	0.025	0.528	0.195	0.004	0.006	0.193	
0:0:20.826	0.003	0.026	0.485	0.197	0.005	0.006	0.187	
0:0:20.919	0.003	0.027	0.472	0.199	0.006	0.006	0.179	
0:0:21.009	0.003	0.029	0.467	0.203	0.008	0.006	0.171	
0:0:21.127	0.002	0.031	0.464	0.207	0.007	0.006	0.160	
0:0:21.230	0.002	0.035	0.494	0.212	0.007	0.006	0.147	
0:0:21.361	0.002	0.031	0.556	0.207	0.005	0.006	0.160	
0:0:21.498	0.001	0.132	0.557	0.297	0.022	0.011	0.051	
0:0:21.592	0.001	0.145	0.495	0.306	0.020	0.011	0.047	
0:0:21.684	0.001	0.218	0.483	0.337	0.028	0.013	0.034	
0:0:21.758	0.001	0.476	0.458	0.409	0.063	0.018	0.019	
0:0:21.835	0.001	0.953	0.443	0.487	0.130	0.024	0.011	
0:0:21.919	0.001	5.864	0.443	0.776	1.009	0.055	0.003	
0:0:22.028	0.001	4.797	0.435	0.732	0.760	0.049	0.004	
0:0:22.138	0.001	7.804	0.437	0.829	1.300	0.061	0.003	
0:0:22.226	0.001	3.274	0.438	0.670	0.507	0.042	0.005	
0:0:22.321	0.001	0.297	0.442	0.382	0.042	0.016	0.023	
0:0:22.404	0.002	0.046	0.442	0.273	0.010	0.009	0.065	
0:0:22.481	0.002	0.030	0.442	0.242	0.006	0.008	0.097	
0:0:22.555	0.002	0.031	0.436	0.215	0.004	0.006	0.142	
0:0:22.627	0.002	0.032	0.440	0.212	0.004	0.006	0.147	
0:0:22.700	0.003	0.030	0.437	0.203	0.004	0.006	0.168	
0:0:22.774	0.002	0.036	0.442	0.212	0.004	0.006	0.146	
0:0:22.846	0.002	0.047	0.436	0.227	0.005	0.007	0.118	
