date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:48.085	0.375	0.001	41.283	0.262	0.010	0.002	1.735	
0:0:48.296	0.016	0.003	16.963	0.500	0.013	0.006	0.929	
0:0:48.482	0.004	0.008	6.069	0.532	0.006	0.009	0.391	
0:0:48.637	0.003	0.011	1.076	0.986	0.014	0.010	0.215	
0:0:48.832	0.003	0.009	0.193	0.859	0.018	0.011	0.192	
0:0:49.014	0.003	0.009	0.098	1.317	0.023	0.016	0.196	
0:0:49.182	0.003	0.023	0.475	0.273	0.003	0.010	0.201	
0:0:49.348	0.003	0.023	0.474	0.188	0.003	0.008	0.213	
0:0:49.512	0.003	0.018	0.535	0.181	0.003	0.006	0.255	
0:0:49.712	0.011	0.003	1.332	0.153	0.015	0.005	1.067	
0:0:49.881	0.013	0.002	3.789	0.183	0.047	0.004	3.045	
0:0:50.028	0.013	0.002	7.311	0.192	0.054	0.002	8.107	
0:0:50.192	0.012	0.002	8.955	0.193	0.055	0.001	13.132	
0:0:50.354	0.012	0.002	6.893	0.195	0.055	0.001	13.920	
0:0:50.519	0.012	0.002	4.949	0.192	0.051	0.001	15.761	
0:0:50.683	0.012	0.002	3.596	0.193	0.050	0.001	15.934	
0:0:50.849	0.011	0.002	3.597	0.190	0.044	0.001	17.319	
0:0:51.021	0.012	0.002	5.016	0.188	0.043	0.001	17.403	
0:0:51.179	0.012	0.002	6.203	0.193	0.048	0.001	16.146	
0:0:51.335	0.012	0.002	5.868	0.200	0.052	0.001	15.770	
0:0:51.485	0.012	0.002	10.999	0.203	0.060	0.001	14.378	
0:0:51.648	0.012	0.002	34.157	0.205	0.062	0.001	13.504	
0:0:51.822	0.012	0.002	87.521	0.199	0.065	0.001	13.241	
0:0:51.990	0.012	0.002	90.647	0.197	0.063	0.001	13.156	
0:0:52.170	0.012	0.002	78.450	0.194	0.061	0.001	13.505	
0:0:52.354	0.012	0.002	89.862	0.195	0.059	0.001	12.993	
0:0:52.515	0.012	0.002	82.801	0.195	0.059	0.001	12.974	
0:0:52.680	0.012	0.002	78.219	0.194	0.054	0.001	13.213	
0:0:52.840	0.012	0.002	65.957	0.191	0.052	0.001	13.224	
0:0:53.279	0.013	0.002	18.530	0.184	0.051	0.001	13.095	
0:0:53.520	0.012	0.002	36.699	0.189	0.061	0.001	13.205	
0:0:53.732	0.011	0.002	46.475	0.198	0.063	0.001	12.486	
0:0:53.894	0.011	0.002	53.960	0.195	0.059	0.001	13.276	
0:0:54.053	0.012	0.002	94.859	0.195	0.062	0.001	14.093	
0:0:54.225	0.012	0.002	99.147	0.196	0.063	0.001	14.289	
0:0:54.383	0.012	0.002	99.670	0.194	0.061	0.001	14.434	
0:0:54.528	0.012	0.002	99.958	0.194	0.058	0.001	14.348	
0:0:54.690	0.012	0.002	99.954	0.194	0.056	0.001	14.419	
0:0:54.862	0.012	0.002	99.238	0.195	0.057	0.001	14.413	
0:0:55.108	0.010	0.002	75.434	0.204	0.071	0.001	12.589	
0:0:55.296	0.011	0.002	76.184	0.197	0.060	0.001	14.211	
0:0:55.494	0.012	0.002	82.745	0.194	0.056	0.001	15.176	
0:0:55.685	0.011	0.002	83.583	0.194	0.052	0.001	16.950	
0:0:55.857	0.012	0.002	84.203	0.194	0.062	0.001	15.535	
