date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:13.988	0.003	0.025	0.416	0.194	0.004	0.005	0.195	
0:0:14.050	0.003	0.025	0.419	0.194	0.004	0.005	0.195	
0:0:14.114	0.003	0.025	0.422	0.195	0.004	0.006	0.194	
0:0:14.177	0.003	0.026	0.425	0.196	0.005	0.006	0.190	
0:0:14.245	0.003	0.028	0.426	0.199	0.005	0.006	0.181	
0:0:14.330	0.002	0.031	0.427	0.205	0.006	0.006	0.166	
0:0:14.398	0.002	0.042	0.428	0.222	0.008	0.007	0.131	
0:0:14.468	0.002	0.099	0.429	0.275	0.023	0.009	0.066	
0:0:14.537	0.001	0.245	0.430	0.345	0.055	0.013	0.033	
0:0:14.605	0.001	0.674	0.432	0.444	0.153	0.020	0.015	
0:0:14.675	0.001	1.044	0.432	0.496	0.244	0.024	0.011	
0:0:14.756	0.001	0.450	0.431	0.402	0.099	0.017	0.021	
0:0:14.831	0.001	0.192	0.432	0.325	0.039	0.012	0.040	
0:0:14.901	0.001	0.116	0.431	0.287	0.021	0.010	0.059	
0:0:14.972	0.002	0.071	0.429	0.254	0.011	0.008	0.086	
0:0:15.037	0.002	0.061	0.427	0.244	0.010	0.008	0.097	
0:0:15.105	0.002	0.045	0.428	0.226	0.007	0.007	0.123	
0:0:15.169	0.002	0.034	0.425	0.210	0.005	0.006	0.153	
0:0:15.235	0.002	0.030	0.423	0.204	0.005	0.006	0.168	
0:0:15.303	0.003	0.029	0.424	0.201	0.004	0.006	0.176	
0:0:15.372	0.003	0.028	0.423	0.199	0.004	0.006	0.180	
0:0:15.441	0.003	0.027	0.424	0.197	0.004	0.006	0.187	
0:0:15.524	0.003	0.026	0.424	0.196	0.004	0.006	0.190	
0:0:15.596	0.003	0.026	0.425	0.195	0.004	0.006	0.192	
0:0:15.669	0.003	0.026	0.424	0.195	0.004	0.006	0.193	
0:0:15.736	0.003	0.025	0.425	0.195	0.004	0.006	0.193	
0:0:15.800	0.003	0.025	0.425	0.195	0.004	0.005	0.194	
0:0:15.867	0.003	0.025	0.425	0.194	0.004	0.005	0.195	
0:0:15.942	0.003	0.025	0.425	0.194	0.004	0.005	0.195	
0:0:16.028	0.003	0.025	0.426	0.195	0.004	0.005	0.194	
0:0:16.107	0.003	0.025	0.426	0.195	0.004	0.005	0.195	
0:0:16.176	0.003	0.025	0.426	0.195	0.004	0.005	0.195	
0:0:16.247	0.003	0.025	0.426	0.195	0.004	0.005	0.196	
0:0:16.317	0.003	0.025	0.426	0.195	0.004	0.005	0.196	
0:0:16.387	0.003	0.025	0.427	0.195	0.005	0.005	0.195	
0:0:16.462	0.003	0.025	0.427	0.195	0.005	0.005	0.195	
0:0:16.535	0.003	0.025	0.427	0.194	0.004	0.005	0.196	
0:0:16.600	0.003	0.025	0.427	0.194	0.004	0.005	0.196	
0:0:16.669	0.003	0.025	0.427	0.194	0.004	0.005	0.197	
0:0:16.742	0.003	0.025	0.427	0.194	0.004	0.005	0.197	
0:0:16.811	0.003	0.025	0.427	0.194	0.004	0.005	0.197	
0:0:16.881	0.003	0.025	0.426	0.194	0.004	0.005	0.197	
0:0:16.952	0.003	0.025	0.427	0.194	0.004	0.005	0.197	
0:0:17.021	0.003	0.025	0.426	0.194	0.004	0.005	0.197	
0:0:17.090	0.003	0.025	0.426	0.194	0.004	0.005	0.197	
0:0:17.167	0.003	0.025	0.426	0.194	0.004	0.005	0.198	
0:0:17.239	0.003	0.025	0.426	0.194	0.004	0.005	0.198	
0:0:17.312	0.003	0.025	0.426	0.194	0.004	0.005	0.198	
0:0:17.389	0.003	0.025	0.426	0.194	0.004	0.005	0.198	
0:0:17.471	0.003	0.025	0.426	0.194	0.005	0.005	0.197	
0:0:17.550	0.003	0.025	0.427	0.194	0.005	0.005	0.197	
0:0:17.628	0.003	0.025	0.426	0.194	0.005	0.005	0.197	
0:0:17.699	0.003	0.025	0.426	0.194	0.005	0.005	0.197	
0:0:17.768	0.003	0.025	0.427	0.194	0.005	0.005	0.197	
0:0:17.843	0.003	0.025	0.427	0.194	0.006	0.005	0.197	
0:0:17.911	0.003	0.025	0.427	0.194	0.006	0.005	0.196	
0:0:17.974	0.003	0.025	0.427	0.194	0.006	0.005	0.196	
0:0:18.040	0.003	0.025	0.427	0.194	0.005	0.005	0.196	
0:0:18.107	0.003	0.025	0.427	0.194	0.005	0.005	0.196	
0:0:18.170	0.003	0.025	0.427	0.194	0.005	0.005	0.196	
0:0:18.230	0.003	0.025	0.427	0.194	0.005	0.005	0.195	
0:0:18.290	0.003	0.025	0.428	0.195	0.005	0.005	0.194	
0:0:18.361	0.003	0.026	0.428	0.195	0.005	0.005	0.192	
0:0:18.427	0.003	0.027	0.429	0.197	0.005	0.006	0.187	
0:0:18.491	0.003	0.029	0.431	0.200	0.005	0.006	0.178	
0:0:18.552	0.002	0.033	0.432	0.209	0.005	0.006	0.157	
0:0:18.627	0.002	0.052	0.433	0.233	0.008	0.007	0.111	
0:0:18.720	0.002	0.078	0.436	0.258	0.011	0.008	0.082	
0:0:18.787	0.001	0.137	0.443	0.298	0.019	0.010	0.053	
0:0:18.849	0.001	0.129	0.449	0.294	0.016	0.010	0.055	
0:0:18.910	0.001	0.101	0.449	0.277	0.011	0.009	0.067	
0:0:18.978	0.002	0.077	0.470	0.259	0.008	0.008	0.083	
0:0:19.042	0.002	0.056	0.491	0.239	0.006	0.007	0.108	
0:0:19.112	0.002	0.050	0.498	0.233	0.006	0.007	0.118	
0:0:19.175	0.002	0.040	0.499	0.220	0.004	0.006	0.143	
0:0:19.238	0.002	0.034	0.489	0.211	0.004	0.006	0.162	
0:0:19.306	0.003	0.028	0.475	0.201	0.003	0.005	0.193	
0:0:19.379	0.003	0.026	0.465	0.199	0.003	0.005	0.209	
0:0:19.448	0.003	0.025	0.452	0.197	0.003	0.005	0.220	
0:0:19.520	0.002	0.024	0.444	0.196	0.003	0.005	0.237	
0:0:19.590	0.002	0.023	0.439	0.196	0.003	0.005	0.243	
0:0:19.655	0.003	0.023	0.434	0.195	0.003	0.005	0.249	
0:0:19.723	0.003	0.023	0.432	0.195	0.003	0.005	0.250	
0:0:19.796	0.003	0.023	0.428	0.195	0.003	0.005	0.242	
0:0:19.860	0.003	0.023	0.426	0.195	0.003	0.005	0.247	
0:0:19.924	0.003	0.023	0.426	0.195	0.003	0.005	0.239	
0:0:19.985	0.003	0.023	0.426	0.194	0.003	0.005	0.235	
0:0:20.047	0.003	0.023	0.427	0.194	0.003	0.005	0.228	
0:0:20.108	0.003	0.024	0.427	0.194	0.003	0.005	0.227	
0:0:20.173	0.003	0.024	0.427	0.194	0.003	0.005	0.223	
0:0:20.234	0.003	0.024	0.427	0.194	0.003	0.005	0.217	
