date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:14.880	0.003	0.022	0.426	0.183	0.003	0.005	0.208	
0:0:14.944	0.003	0.022	0.432	0.185	0.003	0.005	0.209	
0:0:15.006	0.003	0.022	0.436	0.188	0.003	0.005	0.209	
0:0:15.070	0.003	0.023	0.439	0.189	0.003	0.005	0.209	
0:0:15.135	0.003	0.023	0.443	0.190	0.003	0.005	0.210	
0:0:15.203	0.003	0.023	0.444	0.191	0.003	0.005	0.209	
0:0:15.272	0.003	0.023	0.444	0.192	0.003	0.005	0.207	
0:0:15.336	0.003	0.023	0.446	0.192	0.003	0.005	0.208	
0:0:15.398	0.003	0.023	0.446	0.193	0.003	0.005	0.207	
0:0:15.464	0.003	0.023	0.446	0.193	0.003	0.005	0.207	
0:0:15.528	0.003	0.023	0.448	0.193	0.003	0.005	0.208	
0:0:15.600	0.003	0.023	0.448	0.192	0.003	0.005	0.209	
0:0:15.671	0.003	0.023	0.448	0.192	0.003	0.005	0.209	
0:0:15.740	0.003	0.023	0.447	0.192	0.003	0.005	0.207	
0:0:15.809	0.003	0.023	0.447	0.193	0.003	0.005	0.207	
0:0:15.892	0.003	0.023	0.446	0.193	0.003	0.005	0.206	
0:0:15.960	0.003	0.023	0.445	0.193	0.003	0.005	0.205	
0:0:16.037	0.003	0.023	0.446	0.194	0.003	0.006	0.205	
0:0:16.104	0.003	0.023	0.447	0.194	0.003	0.006	0.205	
0:0:16.168	0.003	0.023	0.447	0.194	0.003	0.006	0.205	
0:0:16.234	0.003	0.023	0.449	0.194	0.003	0.006	0.207	
0:0:16.303	0.003	0.023	0.449	0.194	0.003	0.006	0.206	
0:0:16.369	0.003	0.023	0.450	0.195	0.003	0.006	0.207	
0:0:16.432	0.003	0.023	0.450	0.195	0.003	0.005	0.207	
0:0:16.515	0.003	0.023	0.450	0.195	0.003	0.005	0.208	
0:0:16.583	0.003	0.023	0.451	0.194	0.003	0.005	0.211	
0:0:16.645	0.003	0.023	0.449	0.194	0.003	0.005	0.210	
0:0:16.733	0.003	0.023	0.448	0.194	0.003	0.005	0.209	
0:0:16.810	0.003	0.023	0.451	0.194	0.003	0.005	0.212	
0:0:16.879	0.003	0.023	0.451	0.194	0.003	0.005	0.213	
0:0:16.949	0.003	0.024	0.453	0.195	0.003	0.005	0.216	
0:0:17.088	0.003	0.052	0.454	0.202	0.003	0.006	0.237	
0:0:17.154	0.002	0.499	0.456	0.219	0.002	0.011	0.344	
0:0:17.227	0.002	0.270	0.458	0.209	0.002	0.009	0.360	
0:0:17.293	0.003	0.205	0.458	0.204	0.002	0.008	0.369	
0:0:17.367	0.003	0.071	0.459	0.198	0.002	0.006	0.307	
0:0:17.435	0.003	0.034	0.459	0.195	0.003	0.005	0.265	
0:0:17.500	0.003	0.026	0.456	0.194	0.003	0.005	0.242	
0:0:17.562	0.003	0.024	0.456	0.194	0.003	0.005	0.237	
0:0:17.622	0.003	0.023	0.454	0.194	0.003	0.005	0.230	
0:0:17.686	0.003	0.023	0.457	0.194	0.003	0.005	0.232	
0:0:17.759	0.003	0.023	0.456	0.194	0.003	0.005	0.228	
0:0:17.821	0.003	0.023	0.454	0.194	0.003	0.005	0.222	
0:0:17.915	0.003	0.023	0.455	0.194	0.003	0.005	0.222	
0:0:17.982	0.003	0.023	0.454	0.194	0.003	0.005	0.220	
0:0:18.055	0.003	0.023	0.454	0.194	0.003	0.005	0.218	
0:0:18.167	0.003	0.024	0.452	0.195	0.003	0.005	0.211	
0:0:18.237	0.003	0.025	0.451	0.197	0.003	0.005	0.204	
0:0:18.303	0.003	0.026	0.451	0.198	0.003	0.005	0.196	
0:0:18.372	0.003	0.028	0.454	0.203	0.004	0.006	0.181	
0:0:18.442	0.002	0.035	0.457	0.213	0.004	0.006	0.157	
0:0:18.513	0.002	0.051	0.467	0.231	0.005	0.007	0.124	
0:0:18.581	0.002	0.117	0.482	0.267	0.008	0.009	0.085	
0:0:18.661	0.002	0.120	0.498	0.263	0.008	0.009	0.092	
0:0:18.741	0.001	0.888	0.502	0.295	0.006	0.016	0.103	
0:0:18.808	0.001	1.138	0.507	0.291	0.005	0.017	0.121	
0:0:18.882	0.002	0.638	0.525	0.281	0.005	0.014	0.120	
0:0:18.945	0.002	0.288	0.549	0.267	0.005	0.012	0.119	
0:0:19.020	0.002	0.130	0.586	0.254	0.006	0.009	0.118	
0:0:19.081	0.002	0.140	0.665	0.270	0.008	0.010	0.093	
0:0:19.147	0.002	0.082	0.675	0.253	0.007	0.008	0.106	
0:0:19.214	0.002	0.060	0.716	0.243	0.006	0.008	0.114	
0:0:19.282	0.002	0.042	0.740	0.225	0.005	0.007	0.138	
0:0:19.348	0.002	0.034	0.703	0.214	0.004	0.006	0.160	
0:0:19.414	0.003	0.028	0.667	0.206	0.004	0.006	0.181	
0:0:19.474	0.003	0.027	0.635	0.202	0.004	0.006	0.188	
0:0:19.540	0.003	0.026	0.594	0.199	0.003	0.006	0.194	
0:0:19.602	0.003	0.024	0.557	0.197	0.003	0.006	0.201	
0:0:19.667	0.003	0.024	0.534	0.195	0.003	0.006	0.203	
0:0:19.729	0.003	0.024	0.520	0.195	0.003	0.006	0.205	
0:0:19.792	0.003	0.024	0.505	0.195	0.003	0.005	0.205	
0:0:19.853	0.003	0.024	0.481	0.194	0.003	0.005	0.207	
0:0:19.914	0.003	0.024	0.470	0.194	0.003	0.005	0.208	
0:0:19.975	0.003	0.024	0.463	0.194	0.003	0.005	0.211	
0:0:20.036	0.003	0.024	0.455	0.194	0.003	0.005	0.212	
0:0:20.100	0.003	0.024	0.448	0.194	0.003	0.005	0.215	
0:0:20.161	0.003	0.023	0.443	0.194	0.003	0.005	0.220	
0:0:20.225	0.003	0.023	0.440	0.194	0.003	0.005	0.234	
0:0:20.286	0.003	0.022	0.439	0.194	0.003	0.005	0.243	
0:0:20.346	0.003	0.022	0.438	0.194	0.003	0.005	0.261	
0:0:20.407	0.002	0.021	0.437	0.194	0.002	0.005	0.278	
0:0:20.469	0.002	0.020	0.437	0.194	0.002	0.004	0.302	
0:0:20.532	0.002	0.020	0.437	0.194	0.002	0.004	0.308	
0:0:20.595	0.002	0.020	0.437	0.194	0.002	0.004	0.303	
0:0:20.683	0.002	0.020	0.436	0.194	0.002	0.004	0.306	
0:0:20.755	0.003	0.021	0.435	0.194	0.002	0.005	0.271	
0:0:20.821	0.003	0.022	0.435	0.194	0.003	0.005	0.258	
0:0:20.884	0.003	0.023	0.435	0.194	0.003	0.005	0.240	
0:0:20.945	0.003	0.024	0.435	0.194	0.003	0.005	0.229	
0:0:21.010	0.003	0.025	0.435	0.195	0.003	0.005	0.220	
0:0:21.071	0.003	0.025	0.436	0.195	0.003	0.005	0.211	
0:0:21.131	0.003	0.026	0.436	0.197	0.003	0.005	0.204	
0:0:21.196	0.003	0.026	0.437	0.197	0.003	0.005	0.201	
0:0:21.261	0.003	0.026	0.437	0.197	0.003	0.005	0.202	
0:0:21.322	0.003	0.026	0.437	0.197	0.003	0.005	0.204	
0:0:21.387	0.003	0.025	0.438	0.196	0.003	0.005	0.206	
0:0:21.449	0.003	0.025	0.438	0.196	0.003	0.005	0.209	
0:0:21.512	0.003	0.025	0.438	0.195	0.003	0.005	0.211	
0:0:21.573	0.003	0.024	0.438	0.195	0.003	0.005	0.218	
0:0:21.637	0.003	0.024	0.438	0.195	0.003	0.005	0.222	
0:0:21.697	0.003	0.025	0.439	0.195	0.003	0.005	0.223	
0:0:21.762	0.003	0.025	0.439	0.195	0.003	0.005	0.224	
0:0:21.824	0.003	0.025	0.440	0.195	0.003	0.005	0.226	
0:0:21.888	0.003	0.025	0.441	0.195	0.003	0.005	0.227	
0:0:21.950	0.003	0.025	0.442	0.195	0.003	0.005	0.226	
0:0:22.015	0.003	0.025	0.441	0.195	0.003	0.005	0.220	
0:0:22.078	0.003	0.025	0.440	0.195	0.003	0.005	0.216	
0:0:22.139	0.003	0.025	0.439	0.195	0.003	0.005	0.214	
0:0:22.199	0.003	0.025	0.438	0.195	0.003	0.005	0.215	
0:0:22.261	0.003	0.025	0.438	0.195	0.003	0.005	0.215	
0:0:22.333	0.003	0.025	0.438	0.195	0.003	0.005	0.214	
0:0:22.397	0.003	0.025	0.437	0.195	0.003	0.005	0.216	
0:0:22.463	0.003	0.025	0.436	0.195	0.003	0.005	0.214	
0:0:22.526	0.003	0.025	0.436	0.195	0.003	0.005	0.212	
0:0:22.602	0.003	0.025	0.435	0.195	0.003	0.005	0.211	
0:0:22.662	0.003	0.025	0.434	0.196	0.003	0.005	0.209	
0:0:22.722	0.003	0.026	0.433	0.196	0.003	0.005	0.203	
0:0:22.782	0.003	0.027	0.432	0.198	0.003	0.005	0.199	
0:0:22.843	0.003	0.028	0.432	0.199	0.003	0.005	0.193	
0:0:22.906	0.003	0.029	0.431	0.201	0.003	0.005	0.188	
