date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:26.002	91.194	0.001	0.004	0.001	0.001	0.001	0.299	
0:0:26.122	81.662	0.001	0.005	0.002	0.001	0.001	0.276	
0:0:26.219	70.296	0.001	0.006	0.002	0.001	0.001	0.263	
0:0:26.331	91.638	0.001	0.004	0.001	0.001	0.001	0.287	
0:0:26.420	87.474	0.001	0.004	0.002	0.001	0.001	0.296	
0:0:26.505	73.102	0.001	0.005	0.002	0.001	0.001	0.290	
0:0:26.613	89.912	0.001	0.004	0.001	0.001	0.001	0.283	
0:0:26.734	97.687	0.001	0.002	0.001	0.001	0.001	0.283	
0:0:27.092	99.217	0.001	0.002	0.001	0.001	0.001	0.260	
0:0:27.210	99.413	0.001	0.002	0.001	0.001	0.001	0.322	
0:0:27.319	96.244	0.001	0.003	0.001	0.001	0.001	0.304	
0:0:27.424	97.288	0.001	0.003	0.001	0.001	0.001	0.247	
0:0:27.521	87.010	0.001	0.007	0.002	0.001	0.001	0.248	
0:0:27.607	97.749	0.001	0.004	0.001	0.001	0.001	0.250	
0:0:27.722	59.800	0.001	0.011	0.002	0.001	0.001	0.230	
0:0:27.812	90.646	0.001	0.004	0.002	0.001	0.001	0.231	
0:0:27.915	97.450	0.001	0.003	0.001	0.001	0.001	0.240	
0:0:28.010	6.834	0.002	0.018	0.009	0.001	0.001	0.227	
0:0:28.137	0.009	0.013	7.020	0.337	0.002	0.003	0.207	
0:0:30.443	0.002	0.011	0.425	0.194	0.002	0.004	0.312	
0:0:30.628	0.002	0.004	0.422	0.195	0.002	0.004	0.457	
0:0:30.787	0.003	0.010	0.228	0.196	0.004	0.005	0.216	
0:0:31.025	0.003	0.005	20.458	0.196	0.004	0.005	0.200	
0:0:31.213	0.003	0.003	0.019	0.205	0.251	0.004	0.229	
0:0:31.334	0.001	0.008	0.084	0.243	0.001	0.001	5.184	
0:0:31.566	0.001	0.016	0.047	0.254	0.001	0.001	7.543	
0:0:32.095	0.003	0.023	0.454	0.191	0.003	0.006	0.205	
0:0:32.252	0.003	0.024	0.453	0.194	0.003	0.005	0.202	
0:0:32.333	0.003	0.024	0.445	0.194	0.003	0.005	0.208	
0:0:32.642	0.003	0.025	0.429	0.194	0.003	0.005	0.199	
0:0:33.153	0.003	0.023	0.427	0.204	0.003	0.005	0.203	
0:0:33.325	0.003	0.022	0.406	0.187	0.003	0.005	0.215	
0:0:33.440	0.003	0.021	0.405	0.181	0.003	0.005	0.211	
0:0:33.535	0.004	0.020	0.369	0.163	0.003	0.005	0.212	
0:0:33.625	0.004	0.019	0.361	0.162	0.003	0.005	0.210	
0:0:33.715	0.004	0.019	0.371	0.172	0.003	0.005	0.219	
0:0:33.809	0.003	0.021	0.408	0.188	0.003	0.005	0.230	
0:0:33.901	0.003	0.022	0.415	0.192	0.003	0.005	0.229	
0:0:33.999	0.003	0.021	0.420	0.193	0.003	0.005	0.241	
0:0:34.090	0.003	0.021	0.431	0.196	0.002	0.005	0.269	
0:0:34.185	0.002	0.020	0.438	0.195	0.002	0.004	0.291	
0:0:34.276	0.002	0.018	0.445	0.195	0.002	0.004	0.350	
0:0:34.364	0.003	0.021	0.448	0.193	0.003	0.005	0.265	
0:0:34.451	0.003	0.023	0.438	0.193	0.003	0.005	0.223	
0:0:34.555	0.003	0.023	0.428	0.191	0.003	0.005	0.213	
0:0:34.635	0.003	0.023	0.430	0.190	0.003	0.005	0.207	
0:0:34.719	0.003	0.024	0.435	0.193	0.003	0.005	0.206	
0:0:34.814	0.003	0.023	0.432	0.192	0.003	0.005	0.206	
0:0:34.904	0.003	0.023	0.425	0.192	0.003	0.005	0.204	
0:0:34.988	0.003	0.023	0.433	0.196	0.003	0.005	0.206	
0:0:35.071	0.003	0.024	0.435	0.199	0.003	0.006	0.207	
0:0:35.170	0.003	0.024	0.434	0.199	0.003	0.006	0.205	
0:0:35.259	0.003	0.024	0.431	0.199	0.003	0.005	0.202	
0:0:35.342	0.003	0.024	0.432	0.201	0.003	0.005	0.201	
0:0:35.451	0.003	0.024	0.434	0.203	0.003	0.006	0.200	
0:0:35.535	0.003	0.024	0.426	0.198	0.003	0.005	0.201	
0:0:35.635	0.003	0.024	0.430	0.197	0.003	0.005	0.200	
0:0:35.725	0.003	0.024	0.425	0.196	0.003	0.005	0.202	
0:0:35.816	0.003	0.024	0.429	0.196	0.003	0.005	0.206	
0:0:35.933	0.003	0.024	0.431	0.194	0.003	0.005	0.205	
0:0:36.017	0.003	0.023	0.429	0.195	0.003	0.005	0.210	
0:0:36.116	0.003	0.024	0.428	0.195	0.003	0.005	0.207	
0:0:36.196	0.003	0.024	0.431	0.194	0.003	0.005	0.206	
0:0:36.298	0.003	0.023	0.433	0.194	0.003	0.006	0.209	
0:0:36.383	0.003	0.023	0.435	0.194	0.003	0.006	0.207	
0:0:36.468	0.003	0.022	0.433	0.195	0.003	0.007	0.211	
0:0:36.552	0.003	0.022	0.437	0.195	0.003	0.006	0.210	
0:0:36.636	0.003	0.020	0.438	0.195	0.003	0.009	0.218	
0:0:36.720	0.003	0.021	0.437	0.195	0.003	0.007	0.218	
0:0:36.808	0.003	0.022	0.435	0.195	0.003	0.006	0.216	
0:0:36.905	0.003	0.022	0.437	0.195	0.003	0.006	0.215	
0:0:36.985	0.003	0.021	0.437	0.195	0.003	0.006	0.221	
0:0:37.075	0.003	0.020	0.438	0.196	0.003	0.007	0.221	
0:0:37.164	0.003	0.019	0.444	0.195	0.003	0.009	0.224	
0:0:37.248	0.003	0.011	0.440	0.195	0.005	0.050	0.268	
0:0:37.332	0.003	0.008	0.437	0.199	0.007	0.120	0.290	
0:0:37.415	0.003	0.006	0.439	0.205	0.010	0.405	0.325	
0:0:37.499	0.003	0.009	0.445	0.208	0.006	0.079	0.281	
0:0:37.581	0.003	0.016	0.444	0.209	0.004	0.013	0.232	
0:0:37.663	0.003	0.020	0.451	0.206	0.003	0.008	0.222	
0:0:37.739	0.003	0.021	0.455	0.204	0.003	0.006	0.223	
0:0:37.815	0.003	0.022	0.455	0.204	0.003	0.006	0.222	
0:0:37.895	0.003	0.021	0.460	0.202	0.003	0.005	0.233	
0:0:37.975	0.003	0.020	0.460	0.200	0.003	0.005	0.252	
0:0:38.053	0.003	0.019	0.461	0.198	0.003	0.005	0.294	
0:0:38.136	0.003	0.021	0.454	0.198	0.003	0.005	0.234	
0:0:38.217	0.003	0.021	0.458	0.196	0.003	0.005	0.230	
0:0:38.302	0.003	0.022	0.458	0.195	0.003	0.005	0.225	
0:0:38.382	0.003	0.021	0.463	0.194	0.003	0.005	0.232	
0:0:38.464	0.003	0.021	0.467	0.194	0.003	0.005	0.241	
0:0:38.543	0.003	0.021	0.461	0.194	0.003	0.005	0.233	
