date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:3.525	0.003	0.025	0.427	0.194	0.003	0.006	0.195	
0:0:5.883	0.003	0.025	0.436	0.194	0.003	0.005	0.195	
