date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:20.541	99.461	0.001	0.001	0.001	0.001	0.001	0.204	
0:0:20.678	99.573	0.001	0.001	0.001	0.001	0.001	0.200	
0:0:20.802	99.575	0.001	0.001	0.001	0.001	0.001	0.199	
0:0:20.933	99.576	0.001	0.001	0.001	0.001	0.001	0.197	
0:0:21.062	99.576	0.001	0.001	0.001	0.001	0.001	0.196	
0:0:21.196	99.574	0.001	0.001	0.001	0.001	0.001	0.196	
0:0:21.325	99.564	0.001	0.001	0.001	0.001	0.001	0.196	
0:0:21.445	99.502	0.001	0.001	0.001	0.001	0.001	0.196	
0:0:21.607	98.947	0.001	0.001	0.001	0.001	0.001	0.195	
0:0:21.756	88.481	0.001	0.001	0.002	0.001	0.001	0.195	
0:0:21.887	23.450	0.001	0.001	0.003	0.003	0.001	0.195	
0:0:22.035	38.066	0.001	0.002	0.003	0.001	0.001	0.195	
0:0:22.162	71.716	0.001	0.002	0.002	0.001	0.001	0.195	
0:0:22.282	57.943	0.001	0.002	0.002	0.001	0.001	0.196	
0:0:22.403	41.416	0.001	0.005	0.003	0.001	0.001	0.196	
0:0:22.528	9.519	0.002	0.012	0.005	0.001	0.001	0.196	
0:0:22.647	0.186	0.005	0.070	0.024	0.001	0.002	0.197	
0:0:22.779	0.011	0.013	0.237	0.089	0.002	0.003	0.197	
0:0:22.905	0.006	0.016	0.312	0.120	0.002	0.004	0.197	
0:0:23.035	0.005	0.018	0.331	0.130	0.002	0.004	0.198	
0:0:23.170	0.006	0.016	0.301	0.118	0.002	0.004	0.200	
0:0:23.306	0.014	0.012	0.216	0.080	0.002	0.003	0.200	
0:0:23.426	0.011	0.013	0.249	0.091	0.002	0.003	0.200	
0:0:23.544	0.007	0.016	0.305	0.116	0.002	0.004	0.199	
0:0:23.669	0.005	0.018	0.345	0.133	0.002	0.004	0.200	
0:0:23.802	0.005	0.019	0.356	0.143	0.003	0.005	0.198	
0:0:23.993	0.004	0.019	0.314	0.150	0.003	0.005	0.197	
0:0:24.133	0.007	0.010	0.076	0.116	0.006	0.004	0.197	
0:0:24.285	0.010	0.006	0.013	0.096	0.026	0.003	0.195	
0:0:24.413	0.006	0.008	0.032	0.128	0.017	0.004	0.195	
0:0:24.552	0.005	0.009	0.044	0.134	0.014	0.004	0.195	
0:0:24.682	0.005	0.011	0.073	0.137	0.009	0.004	0.196	
0:0:24.824	0.006	0.010	0.063	0.120	0.009	0.004	0.195	
0:0:24.965	0.015	0.008	0.077	0.078	0.004	0.003	0.196	
0:0:25.096	0.025	0.007	0.080	0.060	0.003	0.003	0.196	
0:0:25.237	0.016	0.009	0.134	0.075	0.003	0.003	0.196	
0:0:25.381	0.012	0.011	0.156	0.085	0.003	0.003	0.196	
0:0:25.545	0.020	0.009	0.132	0.067	0.002	0.003	0.197	
0:0:25.666	0.026	0.008	0.127	0.059	0.002	0.003	0.197	
0:0:25.800	0.059	0.006	0.073	0.040	0.002	0.002	0.197	
0:0:25.928	0.423	0.003	0.034	0.017	0.001	0.002	0.198	
0:0:26.051	0.401	0.003	0.029	0.017	0.002	0.002	0.198	
0:0:26.172	0.368	0.003	0.028	0.018	0.002	0.002	0.198	
0:0:26.302	0.154	0.004	0.047	0.026	0.002	0.002	0.198	
0:0:26.446	0.035	0.007	0.108	0.052	0.002	0.003	0.198	
0:0:26.567	0.046	0.007	0.123	0.045	0.002	0.002	0.199	
0:0:26.706	0.037	0.007	0.162	0.050	0.002	0.003	0.201	
0:0:26.846	0.045	0.007	0.162	0.046	0.002	0.002	0.200	
0:0:26.969	0.053	0.006	0.144	0.042	0.002	0.002	0.199	
0:0:27.097	0.030	0.008	0.153	0.055	0.002	0.003	0.198	
0:0:27.244	0.024	0.008	0.137	0.062	0.002	0.003	0.198	
0:0:27.387	0.023	0.008	0.112	0.063	0.002	0.003	0.198	
0:0:27.528	0.014	0.010	0.169	0.078	0.002	0.003	0.198	
0:0:27.670	0.008	0.013	0.224	0.103	0.003	0.004	0.199	
0:0:27.798	0.007	0.014	0.256	0.111	0.003	0.004	0.198	
0:0:27.950	0.006	0.015	0.271	0.124	0.003	0.004	0.197	
0:0:28.068	0.006	0.015	0.238	0.127	0.003	0.004	0.198	
0:0:28.203	0.007	0.014	0.227	0.116	0.003	0.004	0.199	
0:0:28.333	0.007	0.014	0.200	0.116	0.003	0.004	0.201	
0:0:28.479	0.007	0.015	0.224	0.116	0.003	0.004	0.203	
0:0:28.601	0.005	0.018	0.268	0.141	0.003	0.004	0.204	
0:0:28.742	0.004	0.019	0.331	0.149	0.003	0.005	0.202	
0:0:28.962	0.007	0.009	0.082	0.108	0.006	0.004	0.208	
0:0:29.232	0.027	0.006	0.054	0.057	0.004	0.002	0.208	
0:0:29.490	0.009	0.005	0.018	0.097	0.043	0.004	0.199	
0:0:29.698	0.011	0.006	0.025	0.091	0.017	0.003	0.200	
0:0:29.828	0.012	0.004	0.005	0.086	0.086	0.003	0.198	
0:0:29.952	0.017	0.004	0.006	0.072	0.043	0.003	0.198	
0:0:30.071	0.016	0.007	0.059	0.074	0.004	0.003	0.199	
0:0:30.190	0.015	0.008	0.076	0.078	0.004	0.003	0.199	
0:0:30.305	0.013	0.009	0.099	0.081	0.003	0.003	0.200	
0:0:30.425	0.011	0.011	0.172	0.087	0.002	0.003	0.203	
0:0:30.544	0.008	0.013	0.254	0.103	0.002	0.004	0.205	
0:0:30.650	0.008	0.013	0.242	0.103	0.002	0.004	0.204	
0:0:30.801	0.009	0.013	0.254	0.098	0.002	0.004	0.205	
0:0:30.909	0.010	0.012	0.255	0.095	0.002	0.004	0.203	
0:0:31.013	0.010	0.012	0.269	0.092	0.002	0.004	0.202	
0:0:31.111	0.014	0.010	0.238	0.079	0.002	0.003	0.201	
0:0:31.212	0.020	0.009	0.242	0.067	0.002	0.003	0.201	
0:0:31.313	0.045	0.007	0.156	0.046	0.002	0.002	0.199	
0:0:31.454	0.131	0.005	0.101	0.028	0.001	0.002	0.199	
0:0:31.552	2.066	0.002	0.028	0.009	0.001	0.001	0.198	
0:0:31.648	10.274	0.002	0.015	0.005	0.001	0.001	0.198	
0:0:31.753	47.778	0.001	0.006	0.002	0.001	0.001	0.199	
0:0:31.860	75.860	0.001	0.003	0.002	0.001	0.001	0.199	
0:0:31.961	92.415	0.001	0.003	0.001	0.001	0.001	0.199	
0:0:32.069	91.181	0.001	0.003	0.001	0.001	0.001	0.202	
0:0:32.183	97.140	0.001	0.002	0.001	0.001	0.001	0.202	
0:0:32.308	97.905	0.001	0.001	0.001	0.001	0.001	0.199	
0:0:32.434	98.463	0.001	0.001	0.001	0.001	0.001	0.198	
0:0:32.572	98.705	0.001	0.001	0.001	0.001	0.001	0.196	
0:0:32.703	98.147	0.001	0.002	0.001	0.001	0.001	0.196	
0:0:32.846	98.819	0.001	0.003	0.001	0.001	0.001	0.197	
0:0:32.998	99.022	0.001	0.003	0.001	0.001	0.001	0.198	
0:0:33.123	99.338	0.001	0.003	0.001	0.001	0.001	0.201	
0:0:33.252	99.526	0.001	0.003	0.001	0.001	0.001	0.201	
0:0:33.439	99.552	0.001	0.003	0.001	0.001	0.001	0.199	
0:0:33.596	99.564	0.001	0.002	0.001	0.001	0.001	0.198	
0:0:33.717	99.567	0.001	0.002	0.001	0.001	0.001	0.198	
0:0:33.871	99.566	0.001	0.002	0.001	0.001	0.001	0.198	
0:0:34.020	99.567	0.001	0.002	0.001	0.001	0.001	0.196	
0:0:34.154	99.572	0.001	0.001	0.001	0.001	0.001	0.195	
0:0:34.273	99.574	0.001	0.001	0.001	0.001	0.001	0.194	
0:0:34.425	99.575	0.001	0.002	0.001	0.001	0.001	0.195	
0:0:34.546	99.575	0.001	0.009	0.001	0.001	0.001	0.196	
0:0:34.674	99.576	0.001	0.011	0.001	0.001	0.001	0.199	
0:0:34.814	99.578	0.001	0.011	0.001	0.001	0.001	0.213	
0:0:34.964	99.594	0.001	0.012	0.001	0.001	0.001	0.286	
0:0:35.113	99.644	0.001	0.022	0.001	0.001	0.001	0.748	
0:0:35.288	99.748	0.001	0.239	0.001	0.001	0.001	2.949	
0:0:35.435	99.806	0.001	0.372	0.001	0.001	0.001	4.368	
0:0:35.606	99.836	0.001	0.437	0.001	0.001	0.001	5.270	
0:0:35.771	99.839	0.001	0.310	0.001	0.001	0.001	5.186	
0:0:35.906	99.828	0.001	0.270	0.001	0.001	0.001	4.727	
0:0:36.065	99.778	0.001	0.183	0.001	0.001	0.001	3.260	
0:0:36.212	99.736	0.001	0.203	0.001	0.001	0.001	2.430	
0:0:36.365	99.699	0.001	0.349	0.001	0.001	0.001	1.932	
