date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:13.084	0.001	0.368	2.686	0.497	0.929	0.021	0.269	
0:0:13.151	0.001	0.246	2.821	0.487	1.028	0.011	0.435	
0:0:13.220	0.001	0.308	2.836	0.511	1.218	0.010	0.423	
0:0:13.303	0.001	0.947	2.950	0.701	5.252	0.009	0.238	
0:0:13.371	0.001	0.664	3.070	0.698	6.340	0.005	0.319	
0:0:13.437	0.001	0.744	3.021	0.695	5.740	0.005	0.328	
0:0:13.500	0.001	0.521	3.291	0.660	5.062	0.004	0.433	
0:0:13.576	0.001	0.407	3.554	0.623	3.991	0.003	0.539	
0:0:13.650	0.001	0.167	3.461	0.526	2.180	0.003	0.824	
0:0:13.715	0.001	0.110	3.403	0.483	1.565	0.003	0.994	
0:0:13.783	0.001	0.098	3.190	0.482	1.646	0.003	0.903	
0:0:13.850	0.001	0.100	3.050	0.504	2.189	0.003	0.703	
0:0:13.913	0.001	0.098	2.915	0.514	2.531	0.003	0.625	
0:0:13.980	0.001	0.081	2.822	0.510	2.712	0.003	0.596	
0:0:14.090	0.002	0.048	2.741	0.446	1.492	0.003	0.893	
0:0:14.176	0.001	0.113	2.759	0.552	3.791	0.004	0.451	
0:0:14.245	0.001	0.328	2.843	0.709	10.458	0.005	0.210	
0:0:14.317	0.001	0.441	3.059	0.746	12.201	0.005	0.192	
0:0:14.383	0.001	0.811	3.012	0.831	16.867	0.006	0.148	
0:0:14.452	0.001	0.973	3.003	0.793	11.521	0.006	0.200	
0:0:14.516	0.001	1.153	3.063	0.781	9.682	0.006	0.239	
0:0:14.583	0.001	0.730	3.140	0.701	6.287	0.005	0.348	
0:0:14.650	0.001	1.220	3.152	0.715	5.293	0.005	0.375	
0:0:14.724	0.001	1.068	3.289	0.647	2.934	0.004	0.585	
0:0:14.796	0.001	0.494	3.407	0.529	1.193	0.003	1.144	
0:0:14.863	0.002	0.157	3.537	0.433	0.602	0.002	1.914	
0:0:14.945	0.002	0.074	3.884	0.374	0.353	0.002	2.803	
0:0:15.017	0.004	0.014	3.968	0.281	0.144	0.002	5.391	
0:0:15.085	0.006	0.007	3.696	0.249	0.099	0.001	7.035	
0:0:15.152	0.006	0.005	3.889	0.239	0.099	0.001	6.955	
0:0:15.228	0.006	0.004	3.565	0.243	0.114	0.001	6.101	
0:0:15.307	0.006	0.004	3.243	0.244	0.119	0.001	5.475	
0:0:15.380	0.006	0.005	3.067	0.246	0.119	0.002	4.918	
0:0:15.459	0.006	0.004	3.079	0.239	0.104	0.002	4.492	
0:0:15.522	0.003	0.008	3.089	0.294	0.253	0.002	2.124	
0:0:15.591	0.002	0.034	3.148	0.417	1.098	0.003	0.591	
0:0:15.675	0.001	0.064	3.320	0.479	1.880	0.005	0.341	
0:0:15.752	0.001	0.095	3.129	0.522	2.610	0.006	0.236	
0:0:15.818	0.001	0.143	2.857	0.574	3.862	0.007	0.155	
0:0:15.882	0.001	0.251	2.749	0.665	7.347	0.010	0.091	
0:0:15.962	0.001	0.439	2.712	0.741	10.717	0.012	0.071	
0:0:16.055	0.001	0.538	2.867	0.783	13.535	0.013	0.065	
0:0:16.124	0.001	0.321	2.995	0.710	9.894	0.010	0.093	
0:0:16.198	0.001	0.238	3.003	0.671	8.231	0.009	0.110	
0:0:16.269	0.001	0.161	2.959	0.615	5.749	0.008	0.137	
0:0:16.336	0.001	0.136	2.903	0.595	5.087	0.009	0.133	
0:0:16.403	0.001	0.137	2.817	0.600	5.323	0.010	0.118	
0:0:16.480	0.001	0.100	2.741	0.563	4.176	0.011	0.123	
0:0:16.545	0.001	0.104	2.581	0.559	3.827	0.014	0.107	
0:0:16.612	0.001	0.056	2.523	0.480	1.952	0.012	0.155	
0:0:16.678	0.001	0.063	2.442	0.486	1.978	0.014	0.139	
0:0:16.743	0.001	0.086	2.301	0.511	2.234	0.016	0.107	
0:0:16.807	0.001	0.100	2.310	0.523	2.375	0.017	0.102	
0:0:16.876	0.001	0.096	2.367	0.513	2.170	0.017	0.113	
0:0:16.943	0.001	0.090	2.469	0.499	1.890	0.016	0.132	
0:0:17.017	0.001	0.166	2.444	0.565	3.039	0.022	0.086	
0:0:17.087	0.001	0.292	2.308	0.618	3.824	0.029	0.061	
0:0:17.153	0.001	0.549	2.117	0.684	4.949	0.038	0.041	
0:0:17.225	0.001	0.715	1.950	0.689	4.292	0.041	0.037	
0:0:17.296	0.001	0.915	1.871	0.736	5.648	0.048	0.028	
0:0:17.367	0.001	1.464	1.753	0.802	7.279	0.057	0.020	
0:0:17.440	0.001	2.050	1.732	0.851	8.703	0.066	0.017	
0:0:17.509	0.001	2.141	1.721	0.867	9.540	0.070	0.016	
0:0:17.582	0.001	1.771	1.752	0.820	7.518	0.065	0.019	
0:0:17.652	0.001	1.317	1.731	0.771	5.944	0.058	0.022	
