date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:16.562	0.003	0.025	0.429	0.199	0.003	0.006	0.203	
0:0:16.633	0.003	0.025	0.428	0.198	0.003	0.006	0.206	
0:0:16.706	0.003	0.026	0.428	0.199	0.003	0.006	0.204	
0:0:16.770	0.003	0.026	0.428	0.198	0.003	0.005	0.201	
0:0:16.833	0.003	0.026	0.428	0.197	0.003	0.005	0.202	
0:0:16.902	0.003	0.025	0.428	0.196	0.003	0.005	0.205	
0:0:16.966	0.003	0.025	0.428	0.195	0.003	0.005	0.208	
0:0:17.029	0.003	0.025	0.428	0.194	0.003	0.005	0.212	
0:0:17.108	0.003	0.024	0.428	0.194	0.003	0.005	0.214	
0:0:17.183	0.003	0.024	0.428	0.194	0.003	0.005	0.218	
0:0:17.248	0.003	0.024	0.428	0.194	0.003	0.005	0.221	
0:0:17.312	0.003	0.024	0.428	0.194	0.003	0.005	0.229	
0:0:17.376	0.003	0.024	0.429	0.194	0.003	0.005	0.232	
0:0:17.451	0.003	0.023	0.430	0.194	0.003	0.005	0.250	
0:0:17.554	0.003	0.020	0.433	0.194	0.003	0.008	0.273	
0:0:17.624	0.003	0.020	0.442	0.194	0.003	0.007	0.289	
0:0:17.691	0.003	0.020	0.462	0.194	0.003	0.005	0.324	
0:0:17.767	0.003	0.021	0.478	0.194	0.003	0.004	0.335	
0:0:17.834	0.003	0.020	0.520	0.194	0.004	0.004	0.382	
0:0:17.898	0.004	0.014	0.665	0.194	0.005	0.003	0.578	
0:0:17.963	0.006	0.006	1.192	0.194	0.012	0.002	1.511	
0:0:18.030	0.010	0.003	2.918	0.194	0.041	0.002	6.347	
0:0:18.097	0.011	0.002	3.333	0.195	0.046	0.002	9.062	
0:0:18.162	0.011	0.002	4.472	0.195	0.049	0.003	13.768	
0:0:18.241	0.011	0.001	5.225	0.196	0.048	0.013	17.011	
0:0:18.314	0.011	0.001	4.471	0.199	0.047	0.064	16.642	
0:0:18.378	0.011	0.001	4.027	0.200	0.050	0.383	15.162	
0:0:18.457	0.011	0.001	3.937	0.203	0.050	0.965	13.889	
0:0:18.528	0.011	0.001	3.923	0.208	0.050	0.354	12.296	
0:0:18.601	0.011	0.002	3.837	0.209	0.047	0.003	7.961	
0:0:18.681	0.011	0.003	3.279	0.214	0.047	0.002	5.781	
0:0:18.759	0.011	0.003	3.008	0.230	0.046	0.002	4.905	
0:0:18.830	0.010	0.002	2.946	0.249	0.042	0.002	5.069	
0:0:18.897	0.008	0.002	2.846	0.307	0.025	0.002	7.813	
0:0:18.966	0.005	0.002	2.548	0.355	0.015	0.002	9.574	
0:0:19.030	0.001	0.009	2.431	0.545	0.087	0.002	3.206	
0:0:19.109	0.002	0.003	1.525	0.303	0.003	0.002	8.347	
0:0:19.178	0.002	0.005	1.128	0.318	0.002	0.002	5.433	
0:0:19.264	0.002	0.005	1.053	0.339	0.002	0.001	9.334	
0:0:19.331	0.002	0.005	1.154	0.338	0.002	0.001	9.176	
0:0:19.410	0.003	0.008	1.094	0.348	0.003	0.001	4.254	
0:0:19.477	0.003	0.018	0.857	0.280	0.004	0.002	1.561	
0:0:19.562	0.003	0.031	0.765	0.253	0.004	0.002	0.963	
0:0:19.638	0.004	0.040	0.792	0.285	0.005	0.002	0.731	
0:0:19.703	0.004	0.055	0.838	0.304	0.006	0.002	0.721	
0:0:19.770	0.004	0.050	0.964	0.275	0.007	0.002	0.887	
0:0:19.836	0.005	0.049	1.045	0.267	0.009	0.002	0.898	
0:0:19.905	0.005	0.055	1.029	0.253	0.009	0.002	0.816	
0:0:19.975	0.005	0.058	1.028	0.286	0.009	0.002	0.730	
0:0:20.042	0.005	0.051	1.125	0.383	0.012	0.002	0.787	
0:0:20.106	0.005	0.051	1.116	0.384	0.012	0.002	0.788	
0:0:20.170	0.005	0.051	1.153	0.454	0.012	0.002	0.789	
0:0:20.235	0.005	0.061	1.062	0.410	0.010	0.002	0.679	
0:0:20.306	0.004	0.080	0.948	0.326	0.008	0.002	0.543	
0:0:20.372	0.004	0.099	0.857	0.280	0.007	0.002	0.464	
0:0:20.443	0.004	0.112	0.823	0.253	0.006	0.002	0.421	
0:0:20.511	0.004	0.090	0.881	0.283	0.007	0.002	0.514	
0:0:20.574	0.004	0.086	0.892	0.245	0.006	0.002	0.557	
0:0:20.650	0.004	0.086	0.883	0.229	0.006	0.002	0.564	
0:0:20.718	0.004	0.075	0.912	0.214	0.007	0.002	0.638	
0:0:20.788	0.005	0.069	0.941	0.206	0.008	0.002	0.690	
0:0:20.860	0.005	0.064	0.960	0.201	0.008	0.002	0.761	
0:0:20.928	0.005	0.059	0.998	0.199	0.009	0.002	0.846	
0:0:20.993	0.005	0.059	1.001	0.197	0.009	0.002	0.878	
0:0:21.061	0.005	0.057	1.002	0.196	0.010	0.002	0.888	
0:0:21.134	0.005	0.058	0.981	0.196	0.010	0.002	0.868	
0:0:21.196	0.005	0.059	0.929	0.195	0.009	0.002	0.799	
0:0:21.262	0.005	0.050	0.944	0.195	0.009	0.002	0.856	
0:0:21.329	0.005	0.039	0.964	0.195	0.010	0.003	0.926	
0:0:21.394	0.005	0.038	0.966	0.195	0.010	0.002	0.913	
0:0:21.460	0.005	0.033	0.968	0.196	0.009	0.002	0.961	
0:0:21.526	0.005	0.036	0.914	0.196	0.009	0.002	0.901	
0:0:21.594	0.005	0.031	0.857	0.196	0.008	0.002	0.751	
0:0:21.659	0.004	0.025	0.838	0.197	0.007	0.003	0.668	
0:0:21.724	0.004	0.028	0.748	0.197	0.006	0.004	0.501	
0:0:21.812	0.004	0.028	0.695	0.199	0.005	0.005	0.411	
0:0:21.876	0.003	0.028	0.657	0.199	0.005	0.006	0.350	
0:0:21.957	0.003	0.028	0.640	0.198	0.004	0.007	0.318	
0:0:22.034	0.003	0.029	0.662	0.198	0.004	0.006	0.302	
0:0:22.099	0.003	0.034	0.639	0.198	0.004	0.005	0.275	
0:0:22.166	0.003	0.041	0.603	0.197	0.004	0.004	0.257	
0:0:22.231	0.003	0.045	0.596	0.197	0.003	0.004	0.244	
0:0:22.295	0.003	0.046	0.600	0.196	0.003	0.004	0.234	
0:0:22.357	0.003	0.049	0.630	0.196	0.003	0.003	0.233	
0:0:22.429	0.003	0.050	0.671	0.195	0.003	0.003	0.229	
0:0:22.494	0.003	0.053	0.734	0.195	0.003	0.003	0.222	
0:0:22.562	0.003	0.056	0.789	0.195	0.003	0.003	0.217	
0:0:22.628	0.003	0.057	0.795	0.195	0.003	0.003	0.213	
0:0:22.692	0.003	0.055	0.751	0.194	0.003	0.003	0.210	
0:0:22.757	0.003	0.055	0.755	0.194	0.003	0.004	0.208	
0:0:22.824	0.003	0.059	0.763	0.194	0.003	0.003	0.207	
0:0:22.889	0.003	0.058	0.737	0.194	0.003	0.004	0.207	
0:0:22.959	0.003	0.061	0.695	0.194	0.003	0.003	0.206	
0:0:23.024	0.003	0.063	0.670	0.194	0.003	0.003	0.206	
0:0:23.092	0.003	0.071	0.601	0.194	0.003	0.003	0.205	
0:0:23.155	0.003	0.079	0.580	0.194	0.003	0.003	0.202	
0:0:23.233	0.003	0.082	0.577	0.194	0.003	0.003	0.202	
0:0:23.301	0.003	0.090	0.575	0.194	0.003	0.003	0.200	
0:0:23.367	0.003	0.079	0.524	0.194	0.003	0.003	0.198	
0:0:23.459	0.003	0.070	0.492	0.194	0.003	0.003	0.197	
0:0:23.530	0.003	0.065	0.482	0.194	0.003	0.003	0.197	
0:0:23.618	0.003	0.052	0.468	0.194	0.003	0.004	0.196	
0:0:23.686	0.003	0.042	0.465	0.194	0.003	0.004	0.197	
0:0:23.760	0.003	0.038	0.459	0.194	0.003	0.004	0.197	
0:0:23.832	0.003	0.034	0.457	0.194	0.003	0.005	0.198	
0:0:23.911	0.003	0.030	0.455	0.194	0.003	0.005	0.201	
0:0:24.001	0.003	0.026	0.458	0.194	0.003	0.007	0.209	
0:0:24.083	0.003	0.021	0.471	0.194	0.003	0.009	0.229	
0:0:24.156	0.003	0.022	0.513	0.195	0.003	0.006	0.242	
0:0:24.218	0.002	0.027	0.516	0.207	0.003	0.005	0.251	
0:0:24.281	0.001	0.076	0.525	0.285	0.006	0.006	0.135	
0:0:24.343	0.001	3.786	0.559	0.833	0.281	0.022	0.010	
0:0:24.427	0.001	12.684	0.661	1.183	1.090	0.036	0.004	
0:0:24.497	0.001	7.456	0.921	1.211	1.734	0.047	0.003	
0:0:24.563	0.001	8.695	1.361	1.237	2.361	0.055	0.003	
0:0:24.644	0.001	18.952	2.220	1.240	3.524	0.068	0.002	
0:0:24.717	0.001	22.704	3.293	1.237	3.678	0.070	0.002	
0:0:24.800	0.001	36.694	4.323	1.241	5.653	0.103	0.002	
0:0:24.879	0.001	83.126	5.328	1.234	2.257	0.179	0.002	
0:0:24.961	0.001	97.824	6.515	1.226	0.896	0.295	0.004	
0:0:25.036	0.001	99.371	7.417	1.196	0.774	0.377	0.006	
0:0:25.114	0.001	98.932	7.636	1.110	0.955	0.306	0.007	
0:0:25.191	0.001	49.138	6.318	0.552	0.058	0.059	0.031	
0:0:25.269	0.002	0.310	5.545	0.262	0.007	0.009	0.126	
0:0:25.363	0.003	0.042	4.374	0.198	0.003	0.005	0.223	
0:0:25.430	0.003	0.034	2.865	0.194	0.003	0.004	0.214	
0:0:25.494	0.003	0.035	1.814	0.194	0.003	0.004	0.209	
0:0:25.564	0.003	0.045	0.844	0.194	0.003	0.004	0.201	
0:0:25.629	0.003	0.047	0.616	0.194	0.003	0.004	0.200	
0:0:25.695	0.003	0.053	0.483	0.194	0.003	0.004	0.198	
0:0:25.758	0.003	0.047	0.448	0.194	0.003	0.004	0.198	
0:0:25.823	0.003	0.054	0.435	0.194	0.003	0.004	0.198	
0:0:25.922	0.003	0.051	0.430	0.194	0.003	0.004	0.197	
0:0:26.015	0.003	0.056	0.428	0.194	0.003	0.004	0.196	
0:0:26.099	0.003	0.066	0.427	0.194	0.003	0.003	0.196	
0:0:26.161	0.003	0.072	0.427	0.194	0.003	0.003	0.196	
0:0:26.224	0.003	0.090	0.427	0.194	0.003	0.003	0.196	
0:0:26.287	0.003	0.092	0.427	0.194	0.003	0.003	0.196	
0:0:26.350	0.003	0.086	0.427	0.194	0.003	0.003	0.196	
0:0:26.414	0.003	0.081	0.427	0.194	0.003	0.003	0.196	
