date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:1:15.142	0.011	0.002	42.097	0.198	0.119	0.006	1.996	
0:1:15.469	0.010	0.002	29.991	0.196	0.044	0.006	2.274	
0:1:15.990	0.008	0.003	17.456	0.194	0.025	0.005	2.017	
0:1:16.343	0.007	0.004	15.957	0.195	0.019	0.005	1.530	
0:1:16.745	0.011	0.002	60.371	0.195	0.063	0.005	2.263	
0:1:17.021	0.010	0.002	55.694	0.201	0.080	0.006	1.771	
0:1:17.257	0.001	2.403	58.687	1.230	97.455	0.119	0.005	
0:1:17.496	0.001	2.037	59.211	1.244	98.947	0.122	0.006	
0:1:17.716	0.001	1.807	64.442	1.244	99.573	0.123	0.006	
0:1:17.885	0.001	2.216	58.785	1.244	99.495	0.123	0.006	
0:1:18.060	0.001	1.963	62.459	1.244	99.481	0.122	0.006	
0:1:18.232	0.001	2.177	41.901	1.240	98.719	0.122	0.006	
0:1:18.500	0.001	0.096	26.284	0.578	43.213	0.032	0.058	
0:1:18.671	0.005	0.004	28.058	0.250	0.937	0.008	0.876	
0:1:18.808	0.008	0.003	16.750	0.212	0.180	0.006	1.644	
0:1:18.950	0.009	0.003	8.162	0.207	0.105	0.007	2.034	
0:1:19.096	0.010	0.003	3.941	0.199	0.040	0.006	2.652	
0:1:19.288	0.010	0.002	3.151	0.199	0.046	0.005	2.332	
0:1:19.527	0.012	0.002	2.717	0.189	0.055	0.005	2.102	
0:1:19.698	0.010	0.002	2.934	0.205	0.074	0.006	1.739	
0:1:19.855	0.011	0.002	2.867	0.199	0.059	0.006	2.014	
0:1:19.976	0.010	0.002	2.766	0.200	0.056	0.006	1.947	
0:1:20.122	0.009	0.003	3.379	0.209	0.058	0.006	1.570	
0:1:20.252	0.009	0.002	3.463	0.206	0.053	0.006	1.624	
0:1:20.398	0.007	0.003	4.778	0.209	0.043	0.006	1.311	
0:1:20.547	0.006	0.004	6.587	0.206	0.028	0.006	1.222	
0:1:20.750	0.006	0.004	4.797	0.199	0.016	0.005	1.192	
0:1:20.897	0.006	0.003	6.854	0.205	0.024	0.005	1.257	
0:1:21.027	0.005	0.005	6.059	0.210	0.023	0.006	0.778	
0:1:21.181	0.006	0.005	3.769	0.202	0.019	0.006	0.761	
0:1:21.506	0.007	0.003	6.469	0.200	0.033	0.006	1.097	
0:1:21.647	0.008	0.003	7.800	0.200	0.049	0.006	1.161	
0:1:21.803	0.007	0.003	2.439	0.209	0.068	0.006	1.076	
0:1:21.989	0.005	0.007	1.085	0.207	0.015	0.006	0.574	
0:1:22.712	0.005	0.006	1.092	1.199	0.017	0.006	0.584	
0:1:22.788	0.006	0.004	1.449	0.868	0.027	0.006	0.893	
0:1:22.896	0.006	0.004	1.604	0.869	0.041	0.006	0.924	
0:1:23.012	0.008	0.003	2.084	0.389	0.057	0.006	1.337	
0:1:23.140	0.009	0.003	2.055	0.387	0.054	0.006	1.429	
0:1:23.277	0.008	0.003	2.070	0.530	0.058	0.006	1.397	
0:1:23.519	0.008	0.003	2.090	0.418	0.063	0.006	1.380	
0:1:23.717	0.009	0.003	2.071	0.343	0.053	0.006	1.467	
0:1:24.392	0.009	0.002	2.064	0.242	0.044	0.006	1.574	
0:1:24.614	0.011	0.002	2.397	0.210	0.068	0.006	1.961	
0:1:25.060	0.012	0.002	2.764	0.197	0.081	0.006	2.088	
0:1:25.221	0.012	0.002	2.668	0.196	0.079	0.006	2.092	
0:1:25.420	0.012	0.002	2.716	0.197	0.088	0.006	2.080	
0:1:25.568	0.010	0.002	2.722	0.204	0.116	0.006	1.879	
0:1:25.721	0.011	0.002	2.773	0.200	0.125	0.006	1.961	
0:1:28.104	0.005	0.004	2.667	1.305	0.272	0.008	0.876	
0:1:29.727	0.011	0.002	2.519	0.195	0.066	0.006	2.032	
0:1:30.479	0.012	0.002	2.626	0.194	0.076	0.006	2.224	
0:1:30.829	0.012	0.002	2.675	0.194	0.066	0.005	2.324	
0:1:31.382	0.009	0.002	1.792	0.200	0.072	0.006	1.586	
0:1:31.885	0.003	0.024	0.450	0.197	0.004	0.006	0.199	
0:1:32.281	0.004	0.009	0.901	0.201	0.011	0.006	0.436	
0:1:33.216	0.012	0.002	2.762	0.208	0.069	0.006	2.272	
0:1:33.501	0.012	0.002	2.709	9.662	0.087	0.006	2.200	
0:1:33.741	0.013	0.002	2.519	4.371	0.088	0.005	2.224	
0:1:34.229	0.012	0.002	2.740	2.310	0.083	0.005	2.273	
0:1:34.555	0.012	0.002	2.705	0.361	0.076	0.006	2.220	
0:1:35.256	0.012	0.002	2.679	0.198	0.074	0.006	2.295	
0:1:35.946	0.007	0.002	2.620	0.194	0.020	0.003	5.702	
0:1:36.189	0.007	0.002	2.558	0.194	0.019	0.004	5.081	
0:1:36.361	0.004	0.002	1.770	0.194	0.006	0.003	5.031	
0:1:36.612	0.006	0.003	1.887	0.194	0.010	0.004	3.502	
0:1:36.853	0.007	0.002	2.016	0.194	0.020	0.004	2.671	
0:1:37.069	0.009	0.002	2.035	0.194	0.030	0.005	1.841	
0:1:37.448	0.010	0.002	2.244	0.193	0.039	0.005	2.055	
0:1:37.741	0.010	0.002	2.417	0.199	0.038	0.005	2.342	
0:1:37.973	0.007	0.002	2.623	0.202	0.021	0.004	4.489	
0:1:38.176	0.006	0.002	2.559	0.201	0.015	0.003	5.814	
0:1:38.357	0.003	0.002	2.231	0.199	0.004	0.002	13.684	
0:1:38.614	0.002	0.003	2.061	0.198	0.001	0.002	50.092	
0:1:38.817	0.002	0.004	2.036	0.196	0.001	0.002	72.298	
0:1:39.111	0.001	0.005	1.261	0.195	0.001	0.001	60.342	
0:1:39.307	0.002	0.002	1.472	0.195	0.001	0.002	31.945	
0:1:39.964	0.007	0.003	1.650	0.195	0.020	0.005	1.439	
0:1:40.209	0.008	0.002	2.149	0.194	0.027	0.005	2.574	
0:1:40.359	0.008	0.002	2.233	0.195	0.023	0.004	3.293	
0:1:40.495	0.008	0.002	2.294	0.195	0.023	0.004	3.659	
0:1:40.660	0.009	0.002	2.382	0.195	0.031	0.004	3.091	
0:1:40.806	0.010	0.002	2.368	0.195	0.035	0.005	2.761	
0:1:41.330	0.012	0.002	2.549	0.195	0.053	0.005	2.308	
0:1:41.428	0.011	0.002	2.517	0.194	0.051	0.005	2.258	
0:1:41.530	0.011	0.002	2.383	0.194	0.044	0.005	2.188	
0:1:41.656	0.011	0.002	2.361	0.194	0.044	0.005	2.180	
0:1:41.815	0.010	0.002	2.234	0.194	0.039	0.005	1.975	
0:1:41.954	0.010	0.002	2.227	0.194	0.038	0.005	2.084	
0:1:42.109	0.010	0.002	2.174	0.194	0.039	0.005	1.920	
0:1:42.273	0.010	0.002	2.060	0.194	0.036	0.005	1.767	
0:1:42.439	0.008	0.003	1.675	0.194	0.024	0.005	1.318	
0:1:42.656	0.010	0.002	2.300	0.194	0.038	0.005	1.836	
0:1:42.949	0.010	0.002	2.484	0.196	0.049	0.005	2.287	
0:1:43.125	0.012	0.002	2.730	0.195	0.056	0.005	2.429	
0:1:43.310	0.012	0.002	2.979	0.195	0.064	0.005	2.403	
0:1:43.638	0.012	0.002	3.487	0.198	0.105	0.005	2.317	
0:1:43.895	0.011	0.002	3.734	0.198	0.125	0.005	2.359	
0:1:44.287	0.012	0.002	3.170	0.196	0.082	0.005	2.419	
0:1:44.574	0.012	0.002	3.072	0.195	0.071	0.005	2.401	
