date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:38.325	0.005	0.005	2.077	0.253	0.122	0.005	0.994	
0:0:38.536	0.001	1.226	1.403	0.943	19.846	0.065	0.009	
0:0:38.710	0.001	1.852	0.704	0.799	3.327	0.055	0.006	
0:0:38.888	0.001	0.212	0.438	0.382	0.056	0.016	0.028	
0:0:39.117	0.001	1.471	0.397	0.570	0.302	0.032	0.008	
0:0:39.343	0.001	1.456	0.350	0.586	0.390	0.034	0.007	
0:0:39.590	0.001	0.389	0.384	0.425	0.090	0.019	0.020	
0:0:39.813	0.003	0.017	0.753	0.210	0.007	0.006	0.257	
0:0:40.127	0.006	0.004	2.897	0.194	0.019	0.005	0.915	
0:0:40.324	0.008	0.003	6.556	0.194	0.039	0.005	1.442	
0:0:40.489	0.010	0.002	7.615	0.194	0.056	0.003	2.470	
0:0:40.638	0.008	0.003	4.759	0.194	0.048	0.004	1.619	
